ira_share,local_rev_pc,enc_gol,dynasty,income_class,region,LGU_clean,election_year
0.9795761601090227,5633.017358311336,5.171110953589505,0,3,CAR,ABRA,1995.0
0.7977370499143195,113382.39021695219,8.376959417834428,0,3,CAR,ABRA,1998.0
0.8189135873654436,23687.38985970919,6.879072112723975,0,3,CAR,ABRA,2001.0
0.7846327038424228,52331.73154864134,6.016832835292348,0,3,CAR,ABRA,2004.0
0.7389128418277924,61897.370255525224,4.971564252805479,0,3,CAR,ABRA,2010.0
0.7455269751178335,75501.14265767857,5.724329009508892,0,3,CAR,ABRA,2013.0
0.9581538922097933,116940.70112780016,6.0316417065375845,0,3,CAR,ABRA,2019.0
0.9138349306498821,68863.8637158582,8.154394240871511,0,3,CARAGA,AGUSAN DEL SUR,1998.0
0.85250888078461,45728.50450049155,6.874547871116192,0,3,CARAGA,AGUSAN DEL SUR,2001.0
0.9118351456814988,130116.82525679655,6.869058512261745,0,3,CARAGA,AGUSAN DEL SUR,2004.0
0.8907459599128913,322695.80798726156,6.896790814730252,0,3,CARAGA,AGUSAN DEL SUR,2013.0
0.904639529297782,429151.68967967853,4.795588493347168,0,3,CARAGA,AGUSAN DEL SUR,2016.0
0.9269281639337663,51522.16457328248,6.488346227912871,0,3,Western Visayas,AKLAN,2001.0
0.7868853262745006,286616.9965861626,9.936744085451437,0,3,Western Visayas,AKLAN,2007.0
0.7381488161155243,547560.4223683476,5.891920058372762,0,3,Western Visayas,AKLAN,2010.0
0.6844657800335251,1196592.9426034987,7.993670772678001,0,3,Western Visayas,AKLAN,2016.0
0.703382071163121,1391633.2028915882,8.545404276470663,0,3,Western Visayas,AKLAN,2019.0
0.8692976760293227,87923.08435076568,6.983393459367676,0,3,Bicol Region,ALBAY,2001.0
0.7861944382135704,327527.358981207,4.986125170815285,0,3,Bicol Region,ALBAY,2010.0
0.8961909245292485,281365.0349905826,4.795588493347168,0,3,Bicol Region,ALBAY,2013.0
0.882672519421833,632626.3541241214,8.936152332282745,0,3,Bicol Region,ALBAY,2019.0
0.9050840838911025,32925.33730065776,7.164554518238446,0,3,Western Visayas,ANTIQUE,1995.0
0.9235263155444766,70033.9847540036,7.900418637624736,0,3,Western Visayas,ANTIQUE,2004.0
0.9182221990552542,96392.81659139693,11.238816204983323,0,3,Western Visayas,ANTIQUE,2007.0
0.8002159769518915,245201.64663424715,8.279257246156249,0,3,Western Visayas,ANTIQUE,2013.0
0.7706349843745315,352942.79090734944,6.705789451180408,0,3,Western Visayas,ANTIQUE,2019.0
0.8814950807663724,3618.678236988169,5.126769404102447,0,3,CAR,APAYAO,2004.0
0.8063256844263744,4391.903774071892,5.207175027731751,0,3,CAR,APAYAO,2007.0
0.9824195693642749,20529.333559566414,5.185144292269911,0,3,CAR,APAYAO,2010.0
0.9669114152559447,44540.950485358946,5.066624003142579,0,3,CAR,APAYAO,2013.0
0.9205354680203612,122279.39391680062,4.795588493347168,0,3,CAR,APAYAO,2016.0
0.846702664412204,64995.42071318347,6.672220745821733,0,3,Central Luzon,AURORA,1998.0
0.9486504771093323,16056.32991643576,9.653701847452794,0,3,Central Luzon,AURORA,2001.0
0.9416419690633137,107178.44019617325,4.795588493347168,0,3,Central Luzon,AURORA,2016.0
0.9420498256125001,146293.91693123244,7.3789290939828325,0,3,Central Luzon,AURORA,2019.0
0.566044206709991,530238.5272867009,8.627503040623651,0,3,Central Luzon,BATAAN,1998.0
0.6506563716174208,420866.5891598388,4.795588493347168,0,3,Central Luzon,BATAAN,2001.0
0.5271911646942201,549235.7513639703,7.368155797385043,0,3,Central Luzon,BATAAN,2007.0
0.651441890667744,852052.0787567124,7.181653789625556,0,3,Central Luzon,BATAAN,2010.0
0.6526383244375981,992997.7261371166,6.088819360652224,0,3,Central Luzon,BATAAN,2013.0
0.6438079221770393,1586475.5292158425,4.795588493347168,0,3,Central Luzon,BATAAN,2016.0
0.565434618600121,3079191.332335055,6.2706776748802895,0,3,Central Luzon,BATAAN,2019.0
0.9202989551561114,10927.37940923695,8.232468289642838,0,3,Cagayan Valley,BATANES,1995.0
0.9763045639327164,6258.5209442807245,8.39972360620618,0,3,Cagayan Valley,BATANES,2001.0
0.9703683107114358,9277.819510306814,7.306961572338081,0,3,Cagayan Valley,BATANES,2004.0
0.9447367082334992,37209.996183750685,9.91664086966648,0,3,Cagayan Valley,BATANES,2013.0
0.9713642835688479,33866.586528573185,7.135750315743052,0,3,Cagayan Valley,BATANES,2019.0
0.7415173692135983,521009.74246773124,5.367195810935073,0,3,CALABARZON,BATANGAS,2001.0
0.734146575663809,1440314.3787659556,7.436011277052443,0,3,CALABARZON,BATANGAS,2010.0
0.7461824142464604,1548915.3982302248,5.062464451877417,0,3,CALABARZON,BATANGAS,2013.0
0.7666720263362556,2650761.6750415564,4.9317872147034905,0,3,CALABARZON,BATANGAS,2019.0
0.9424549685739159,25659.045693053864,6.240289376988471,0,3,Eastern Visayas,BILIRAN,2004.0
0.9436388681526395,31964.14181787381,6.548960387179136,0,3,Eastern Visayas,BILIRAN,2007.0
